Deck_Name,Archetype_URL
Dimir Midrange,https://www.mtggoldfish.com/archetype/standard-dimir-midrange-woe#paper
Izzet Looting,https://www.mtggoldfish.com/archetype/standard-izzet-looting-woe#paper
Simic Aggro,https://www.mtggoldfish.com/archetype/standard-simic-aggro-woe#paper
Mono-Red Aggro,https://www.mtggoldfish.com/archetype/standard-mono-red-aggro-woe#paper
Izzet Lessons,https://www.mtggoldfish.com/archetype/standard-izzet-lessons-woe#paper
Jeskai Control,https://www.mtggoldfish.com/archetype/standard-jeskai-control-woe#paper
Izzet Prowess,https://www.mtggoldfish.com/archetype/standard-izzet-prowess-woe#paper
4c Reanimator,https://www.mtggoldfish.com/archetype/standard-4c-reanimator-woe#paper
Bant Airbending Combo,https://www.mtggoldfish.com/archetype/standard-bant-airbending-combo-woe#paper
Gruul Leyline Aggro,https://www.mtggoldfish.com/archetype/standard-gruul-leyline-aggro-woe#paper
Temur Floodcaller Combo,https://www.mtggoldfish.com/archetype/standard-temur-floodcaller-combo-woe#paper
Dimir Self-Bounce,https://www.mtggoldfish.com/archetype/standard-dimir-self-bounce-woe#paper
Sultai Reanimator,https://www.mtggoldfish.com/archetype/standard-sultai-reanimator-woe#paper
Jeskai Artifacts,https://www.mtggoldfish.com/archetype/standard-jeskai-artifacts-woe#paper
Azorius Control,https://www.mtggoldfish.com/archetype/standard-azorius-control-woe#paper
Esper Self-Bounce,https://www.mtggoldfish.com/archetype/standard-esper-self-bounce-woe#paper
Gruul Delirium,https://www.mtggoldfish.com/archetype/standard-gruul-delirium-woe#paper
Boros Aggro,https://www.mtggoldfish.com/archetype/standard-boros-aggro-woe#paper
Orzhov Self-Bounce,https://www.mtggoldfish.com/archetype/standard-orzhov-self-bounce-woe#paper
Lifegain,https://www.mtggoldfish.com/archetype/standard-lifegain-woe#paper
4c Control,https://www.mtggoldfish.com/archetype/standard-4c-control-woe#paper
4c Artifacts,https://www.mtggoldfish.com/archetype/standard-4c-artifacts-woe#paper
Orzhov Midrange,https://www.mtggoldfish.com/archetype/standard-orzhov-midrange-woe#paper
Golgari Midrange,https://www.mtggoldfish.com/archetype/standard-golgari-midrange-woe#paper
Simic Omniscience,https://www.mtggoldfish.com/archetype/standard-simic-omniscience-woe#paper
Mono-Black Midrange,https://www.mtggoldfish.com/archetype/standard-mono-black-midrange-woe#paper
Temur Battlecrier Combo,https://www.mtggoldfish.com/archetype/standard-temur-battlecrier-combo-woe#paper
Boros Manufacturing,https://www.mtggoldfish.com/archetype/standard-boros-manufacturing-woe#paper
Mono-White Token Control,https://www.mtggoldfish.com/archetype/standard-mono-white-token-control-woe#paper
Esper Control,https://www.mtggoldfish.com/archetype/standard-esper-control-woe#paper
Boros Mice,https://www.mtggoldfish.com/archetype/standard-boros-mice-woe#paper
Golgari Insidious Roots,https://www.mtggoldfish.com/archetype/standard-golgari-insidious-roots-woe#paper
Golgari Dragons,https://www.mtggoldfish.com/archetype/standard-golgari-dragons-woe#paper
4c Insidious Roots,https://www.mtggoldfish.com/archetype/standard-4c-insidious-roots-woe#paper
Simic Landfall,https://www.mtggoldfish.com/archetype/standard-simic-landfall-woe#paper
Mono-Black Demons,https://www.mtggoldfish.com/archetype/standard-mono-black-demons-woe#paper
Boros Burn,https://www.mtggoldfish.com/archetype/standard-boros-burn-woe#paper
Simic Floodcaller Combo,https://www.mtggoldfish.com/archetype/standard-simic-floodcaller-combo-woe#paper
Temur Landfall,https://www.mtggoldfish.com/archetype/standard-temur-landfall-woe#paper
Orzhov Control,https://www.mtggoldfish.com/archetype/standard-orzhov-control-woe#paper
Mono-White Midrange,https://www.mtggoldfish.com/archetype/standard-mono-white-midrange-woe#paper
Azorius Enchantments,https://www.mtggoldfish.com/archetype/standard-azorius-enchantments-woe#paper
Dimir Control,https://www.mtggoldfish.com/archetype/standard-dimir-control-woe#paper
Selesnya Gearhulk,https://www.mtggoldfish.com/archetype/standard-selesnya-gearhulk-woe#paper
4c Manufacturing,https://www.mtggoldfish.com/archetype/standard-4c-manufacturing-woe#paper
Naya Yuna,https://www.mtggoldfish.com/archetype/standard-naya-yuna-woe#paper
Sultai Control,https://www.mtggoldfish.com/archetype/standard-sultai-control-woe#paper
Temur Kona,https://www.mtggoldfish.com/archetype/standard-temur-kona-woe#paper
Esper Artifacts,https://www.mtggoldfish.com/archetype/standard-esper-artifacts-woe#paper
Mono-Red Leyline Aggro,https://www.mtggoldfish.com/archetype/standard-mono-red-leyline-aggro-woe#paper
Orzhov Aristocrats,https://www.mtggoldfish.com/archetype/standard-orzhov-aristocrats-woe#paper
Sultai Dragons,https://www.mtggoldfish.com/archetype/standard-sultai-dragons-woe#paper
Mono-Green Landfall,https://www.mtggoldfish.com/archetype/standard-mono-green-landfall-woe#paper
Azorius Aggro,https://www.mtggoldfish.com/archetype/standard-azorius-aggro-woe#paper
Boros Leyline Aggro,https://www.mtggoldfish.com/archetype/standard-boros-leyline-aggro-woe#paper
4c Airbending Combo,https://www.mtggoldfish.com/archetype/standard-4c-airbending-combo-woe#paper
Simic Birds,https://www.mtggoldfish.com/archetype/standard-simic-birds-woe#paper
Temur Lessons,https://www.mtggoldfish.com/archetype/standard-temur-lessons-woe#paper
