Deck_Name,Meta_Pct,Meta_Count
Izzet Spellementals,20.7%,115
4c Control,17.3%,96
Dimir Excruciator,16.2%,90
Lifegain,6.3%,35
Azorius Tempo,5.6%,31
Sultai Reanimator,5.2%,29
Dimir Midrange,3.1%,17
Mardu Discard,2.2%,12
Mono-Red Aggro,2.2%,12
Mono-Green Landfall,1.8%,10
Jeskai Control,1.4%,8
Izzet Aggro,1.4%,8
Naya Delirium,1.4%,8
Dimir Reanimator,1.3%,7
Gruul Delirium,1.1%,6
Boros Manufacturing,1.1%,6
Sultai Control,0.9%,5
4c Kona,0.9%,5
Jeskai Artifacts,0.9%,5
Azorius Momo,0.7%,4
Mono-Black Aggro,0.7%,4
4c Reanimator,0.5%,3
Mardu Manufacturing,0.5%,3
Izzet Prowess,0.5%,3
Boros Tokens,0.5%,3
Mono-Black Midrange,0.4%,2
Boros Burn,0.4%,2
Izzet Control,0.4%,2
4c Control,0.4%,2
Jeskai Manufacturing,0.4%,2
Selesnya Landfall,0.4%,2
Esper Control,0.4%,2
4c Legends,0.2%,1
Izzet Spells,0.2%,1
Orzhov Aristocrats,0.2%,1
Esper Reanimator,0.2%,1
Jeskai Momo,0.2%,1
Boros Dragons,0.2%,1
Gruul Leyline Aggro,0.2%,1
Dimir Self-Bounce,0.2%,1
Mono-Green Aggro,0.2%,1
Temur Kona,0.2%,1
Boros Aggro,0.2%,1
4c Omniscience,0.2%,1
5c Control,0.2%,1
Boros Mice,0.2%,1
Azorius Control,0.2%,1
Naya Yuna,0.2%,1
