Deck_Name,Archetype_URL
Simic Ouroboroid,https://www.mtggoldfish.com/archetype/standard-simic-ouroboroid-woe#paper
Izzet Lessons,https://www.mtggoldfish.com/archetype/standard-izzet-lessons-woe#paper
Dimir Midrange,https://www.mtggoldfish.com/archetype/standard-dimir-midrange-woe#paper
Jeskai Control,https://www.mtggoldfish.com/archetype/standard-jeskai-control-woe#paper
Sultai Reanimator,https://www.mtggoldfish.com/archetype/standard-sultai-reanimator-woe#paper
Mono-Red Aggro,https://www.mtggoldfish.com/archetype/standard-mono-red-aggro-woe#paper
Bant Airbending Combo,https://www.mtggoldfish.com/archetype/standard-bant-airbending-combo-woe#paper
Selesnya Landfall,https://www.mtggoldfish.com/archetype/standard-selesnya-landfall-woe#paper
Mono-Green Landfall,https://www.mtggoldfish.com/archetype/standard-mono-green-landfall-woe#paper
Boros Aggro,https://www.mtggoldfish.com/archetype/standard-boros-aggro-woe#paper
Boros Dragons,https://www.mtggoldfish.com/archetype/standard-boros-dragons-woe#paper
4c Reanimator,https://www.mtggoldfish.com/archetype/standard-4c-reanimator-woe#paper
Izzet Spellementals,https://www.mtggoldfish.com/archetype/standard-izzet-spellementals-woe#paper
Azorius Control,https://www.mtggoldfish.com/archetype/standard-azorius-control-woe#paper
4c Toolbox,https://www.mtggoldfish.com/archetype/standard-4c-toolbox-woe#paper
Izzet Looting,https://www.mtggoldfish.com/archetype/standard-izzet-looting-woe#paper
Temur Lessons,https://www.mtggoldfish.com/archetype/standard-temur-lessons-woe#paper
Esper Self-Bounce,https://www.mtggoldfish.com/archetype/standard-esper-self-bounce-woe#paper
Allies,https://www.mtggoldfish.com/archetype/standard-allies-woe#paper
Mono-Red Leyline Aggro,https://www.mtggoldfish.com/archetype/standard-mono-red-leyline-aggro-woe#paper
Dimir Control,https://www.mtggoldfish.com/archetype/standard-dimir-control-woe#paper
Golgari Midrange,https://www.mtggoldfish.com/archetype/standard-golgari-midrange-woe#paper
Izzet Self-Bounce,https://www.mtggoldfish.com/archetype/standard-izzet-self-bounce-woe#paper
Izzet Prowess,https://www.mtggoldfish.com/archetype/standard-izzet-prowess-woe#paper
Jeskai Artifacts,https://www.mtggoldfish.com/archetype/standard-jeskai-artifacts-woe#paper
Rakdos Monument,https://www.mtggoldfish.com/archetype/standard-rakdos-monument-woe#paper
Sultai Elementals,https://www.mtggoldfish.com/archetype/standard-sultai-elementals-woe#paper
4c Control,https://www.mtggoldfish.com/archetype/standard-4c-control-woe#paper
Azorius Tempo,https://www.mtggoldfish.com/archetype/standard-azorius-tempo-woe#paper
Golgari Ouroboroid,https://www.mtggoldfish.com/archetype/standard-golgari-ouroboroid-woe#paper
Bant Omniscience,https://www.mtggoldfish.com/archetype/standard-bant-omniscience-woe#paper
Temur Harmonizer Combo,https://www.mtggoldfish.com/archetype/standard-temur-harmonizer-combo-woe#paper
Bant Ouroboroid,https://www.mtggoldfish.com/archetype/standard-bant-ouroboroid-woe#paper
Boros Burn,https://www.mtggoldfish.com/archetype/standard-boros-burn-woe#paper
5c Control,https://www.mtggoldfish.com/archetype/standard-5c-control-woe#paper
Jeskai Self-Bounce,https://www.mtggoldfish.com/archetype/standard-jeskai-self-bounce-woe#paper
4c Elementals,https://www.mtggoldfish.com/archetype/standard-4c-elementals-woe#paper
4c Omniscience,https://www.mtggoldfish.com/archetype/standard-4c-omniscience-woe#paper
Temur Ouroboroid,https://www.mtggoldfish.com/archetype/standard-temur-ouroboroid-woe#paper
Temur Kona,https://www.mtggoldfish.com/archetype/standard-temur-kona-woe#paper
Izzet Elementals,https://www.mtggoldfish.com/archetype/standard-izzet-elementals-woe#paper
Temur Elementals,https://www.mtggoldfish.com/archetype/standard-temur-elementals-woe#paper
Gruul Landfall,https://www.mtggoldfish.com/archetype/standard-gruul-landfall-woe#paper
Dimir Faeries,https://www.mtggoldfish.com/archetype/standard-dimir-faeries-woe#paper
Temur Stormsplitter,https://www.mtggoldfish.com/archetype/standard-temur-stormsplitter-woe#paper
Gruul Ouroboroid,https://www.mtggoldfish.com/archetype/standard-gruul-ouroboroid-woe#paper
Boros Manufacturing,https://www.mtggoldfish.com/archetype/standard-boros-manufacturing-woe#paper
Sultai Ouroboroid,https://www.mtggoldfish.com/archetype/standard-sultai-ouroboroid-woe#paper
5c Toolbox,https://www.mtggoldfish.com/archetype/standard-5c-toolbox-woe#paper
Orzhov Midrange,https://www.mtggoldfish.com/archetype/standard-orzhov-midrange-woe#paper
Esper Elementals,https://www.mtggoldfish.com/archetype/standard-esper-elementals-woe#paper
Dimir Self-Bounce,https://www.mtggoldfish.com/archetype/standard-dimir-self-bounce-woe#paper
Gruul Delirium,https://www.mtggoldfish.com/archetype/standard-gruul-delirium-woe#paper
Temur Battlecrier Combo,https://www.mtggoldfish.com/archetype/standard-temur-battlecrier-combo-woe#paper
Gruul Leyline Aggro,https://www.mtggoldfish.com/archetype/standard-gruul-leyline-aggro-woe#paper
Bant Toolbox,https://www.mtggoldfish.com/archetype/standard-bant-toolbox-woe#paper
Izzet Omniscience,https://www.mtggoldfish.com/archetype/standard-izzet-omniscience-woe#paper
Azorius Enchantments,https://www.mtggoldfish.com/archetype/standard-azorius-enchantments-woe#paper
Abzan Insidious Roots,https://www.mtggoldfish.com/archetype/standard-abzan-insidious-roots-woe#paper
Mardu Control,https://www.mtggoldfish.com/archetype/standard-mardu-control-woe#paper
