Deck_Name,Archetype_URL
Izzet Prowess,https://www.mtggoldfish.com/archetype/standard-izzet-prowess-woe#paper
Mono-Green Landfall,https://www.mtggoldfish.com/archetype/standard-mono-green-landfall-woe#paper
Izzet Lessons,https://www.mtggoldfish.com/archetype/standard-izzet-lessons-woe#paper
Izzet Spellementals,https://www.mtggoldfish.com/archetype/standard-izzet-spellementals-woe#paper
Dimir Excrutiator,https://www.mtggoldfish.com/archetype/standard-dimir-excruciator-woe#paper
Izzet Self-Bounce,https://www.mtggoldfish.com/archetype/standard-izzet-self-bounce-woe#paper
Selesnya Ouroboroid,https://www.mtggoldfish.com/archetype/standard-selesnya-ouroboroid-woe#paper
5c Elementals,https://www.mtggoldfish.com/archetype/standard-5c-elementals-woe#paper
Dimir Midrange,https://www.mtggoldfish.com/archetype/standard-dimir-midrange-woe#paper
Bant Ouroboroid,https://www.mtggoldfish.com/archetype/standard-bant-ouroboroid-woe#paper
Azorius Momo,https://www.mtggoldfish.com/archetype/standard-azorius-momo-woe#paper
Mono-Red Aggro,https://www.mtggoldfish.com/archetype/standard-mono-red-aggro-woe#paper
4c Ouroboroiud,https://www.mtggoldfish.com/archetype/standard-4c-ouroboroid-woe-8c9f8d27-77a8-435f-8439-82cbaca7b7f2#paper
Mono-White Momo,https://www.mtggoldfish.com/archetype/standard-mono-white-momo-woe#paper
Jeskai Control,https://www.mtggoldfish.com/archetype/standard-jeskai-control-woe#paper
Temur Kona,https://www.mtggoldfish.com/archetype/standard-temur-kona-woe#paper
Boros Dragons,https://www.mtggoldfish.com/archetype/standard-boros-dragons-woe#paper
Azorius Tempo,https://www.mtggoldfish.com/archetype/standard-azorius-tempo-woe#paper
4c Kona,https://www.mtggoldfish.com/archetype/standard-4c-kona-woe#paper
Sultai Reanimator,https://www.mtggoldfish.com/archetype/standard-sultai-reanimator-woe#paper
