,Deck_Name,Archetype,Meta_Pct,Meta_Count
0,Izzet Spellementals,Aggro,20.70%,115
1,4c Control,Control,17.30%,96
2,Dimir Excruciator,Control,16.20%,90
3,Lifegain,Aggro,6.30%,35
4,Azorius Tempo,Aggro,5.60%,31
5,Sultai Reanimator,Combo,5.20%,29
6,Dimir Midrange,Midrange,3.10%,17
7,Mardu Discard,Aggro,2.20%,12
8,Mono-Red Aggro,Aggro,2.20%,12
9,Mono-Green Landfall,Aggro,1.80%,10
10,Jeskai Control,Control,1.40%,8
11,Izzet Aggro,Aggro,1.40%,8
12,Naya Delirium,Aggro,1.40%,8
13,Dimir Reanimator,Combo,1.30%,7
14,Gruul Delirium,Aggro,1.10%,6
15,Boros Manufacturing,Combo,1.10%,6
16,Sultai Control,Control,0.90%,5
17,4c Kona,Combo,0.90%,5
18,Jeskai Artifacts,Midrange,0.90%,5
19,Azorius Momo,Aggro,0.70%,4
