,Color_Identity,Meta_Share,Deck_Name,Archetype_URL
0,Izzet,16.70%,Izzet Prowess,https://www.mtggoldfish.com/archetype/standard-izzet-prowess-woe#paper
1,Mono-Green,16.30%,Mono-Green Landfall,https://www.mtggoldfish.com/archetype/standard-mono-green-landfall-woe#paper
2,Izzet,9.70%,Izzet Lessons,https://www.mtggoldfish.com/archetype/standard-izzet-lessons-woe#paper
3,Izzet,9.50%,Izzet Spellementals,https://www.mtggoldfish.com/archetype/standard-izzet-spellementals-woe#paper
4,Dimir,9.20%,Dimir Excrutiator,https://www.mtggoldfish.com/archetype/standard-dimir-excruciator-woe#paper
5,Izzet,5.20%,Izzet Self-Bounce,https://www.mtggoldfish.com/archetype/standard-izzet-self-bounce-woe#paper
6,Selesnya,4.60%,Selesnya Ouroboroid,https://www.mtggoldfish.com/archetype/standard-selesnya-ouroboroid-woe#paper
7,5c,3.00%,5c Elementals,https://www.mtggoldfish.com/archetype/standard-5c-elementals-woe#paper
8,Dimir,2.70%,Dimir Midrange,https://www.mtggoldfish.com/archetype/standard-dimir-midrange-woe#paper
9,Bant,2.30%,Bant Ouroboroid,https://www.mtggoldfish.com/archetype/standard-bant-ouroboroid-woe#paper
10,Azorius,2.20%,Azorius Momo,https://www.mtggoldfish.com/archetype/standard-azorius-momo-woe#paper
11,Mono-Red,1.70%,Mono-Red Aggro,https://www.mtggoldfish.com/archetype/standard-mono-red-aggro-woe#paper
12,4c,1.70%,4c Ouroboroiud,https://www.mtggoldfish.com/archetype/standard-4c-ouroboroid-woe-8c9f8d27-77a8-435f-8439-82cbaca7b7f2#paper
13,Mono-White,1.40%,Mono-White Momo,https://www.mtggoldfish.com/archetype/standard-mono-white-momo-woe#paper
14,Jeskai,1.20%,Jeskai Control,https://www.mtggoldfish.com/archetype/standard-jeskai-control-woe#paper
15,Temur,1.10%,Temur Kona,https://www.mtggoldfish.com/archetype/standard-temur-kona-woe#paper
16,Boros,1.00%,Boros Dragons,https://www.mtggoldfish.com/archetype/standard-boros-dragons-woe#paper
17,Azorius,0.70%,Azorius Tempo,https://www.mtggoldfish.com/archetype/standard-azorius-tempo-woe#paper
18,4c,0.70%,4c Kona,https://www.mtggoldfish.com/archetype/standard-4c-kona-woe#paper
19,Sultai,0.70%,Sultai Reanimator,https://www.mtggoldfish.com/archetype/standard-sultai-reanimator-woe#paper
